_id,PK,CCR,HIERARCHY,INCIDENTTIME,INCIDENTLOCATION,CLEAREDFLAG,INCIDENTNEIGHBORHOOD,INCIDENTZONE,INCIDENTHIERARCHYDESC,OFFENSES,INCIDENTTRACT,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION,X,Y
21,167598985,17228586,10,2017-11-27T01:16:00,"4600 Block Carlton St Pittsburgh, PA 15201",Y,Central Lawrenceville,2,SIMPLE ASSAULT,2701 Simple Assault. / 5505 Public Drunkenness,902,7,2,-79.9559970953903,40.470840883613
22,167642128,17163210,10,2017-11-27T16:12:00,"800 Block Chartiers Ave Pittsburgh, PA 15220",Y,Elliott,2,SIMPLE ASSAULT,2701 Simple Assault.,201,2,5,-80.039038010993,40.442587385073
23,167646425,17228981,6,2017-11-27T10:00:00,"6800 Block Kelly St Pittsburgh, PA 15208",N,Homewood West,5,THEFT FROM AUTO,3934 Theft from Vehicle,1207,9,2,-79.9061772721799,40.4574600785853
25,167487204,17226745,3,2017-11-23T21:23:00,"1200 Block Yetta Ave Pittsburgh, PA 15212",N,Spring Hill-City View,1,ROBBERY,3701 Robbery.,2620,1,1,-79.993007992621,40.4631960270256
26,167495294,17226915,0,2017-11-24T08:20:00,"500 Block Vogels Ln Verona, PA 15147",N,Outside State,OSC,99,9094 Recovered Stolen Vehicle (OUTSIDE CITY),7799,,,-79.838562652354,40.5037552285236
27,167500553,17226941,14,2017-11-24T09:30:00,"5100 Block Blair St Pittsburgh, PA 15207",N,Hazelwood,4,CRIMINAL MISCHIEF,3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,1501,5,3,-79.9465085664694,40.4065004974614
28,167517873,17227024,6,2017-11-24T03:00:00,"200 Block Morewood Ave Pittsburgh, PA 15213",N,Bloomfield,5,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,804,7,2,-79.9466668631122,40.455880560531
29,167518297,17227033,5,2017-11-19T08:00:00,"1200 Block Lancaster St Pittsburgh, PA 15218",N,Regent Square,4,BURGLARY,3502 Burglary.,1410,5,3,-79.8973488391579,40.4298684383253
30,167521344,17227054,99,2017-11-24T14:07:00,"6300 Block Aureila St Pittsburgh, PA 15206",Y,Shadyside,4,AIDED CASE,9497 Aided Case,709,8,2,-79.9214775294821,40.4579296948609
31,167525803,17227131,6,2017-11-24T15:00:00,"1200 Block Squirrel Hill Ave Pittsburgh, PA 15217",N,Squirrel Hill North,4,THEFT FROM AUTO,3934 Theft from Vehicle,1401,8,3,-79.9347948492209,40.4435227653318
32,167552672,17227610,99,2017-11-25T11:40:00,"E Carson St Pittsburgh, PA 15203",Y,South Side Flats,3,FOUND PROPERTY,9489 Found Property,1702,,,0.0,0.0
33,-2745004859,17227705,27,2017-11-25T14:26:00,"600 Block Avery St Pittsburgh, PA 15212",N,East Allegheny,1,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,2304,1,1,-79.9989743049411,40.4531078077042
34,167568524,17226384,23,2017-11-23T01:32:00,"700 Block Bellefonte St Pittsburgh, PA 15232",Y,Shadyside,4,PUBLIC DRUNKENESS,5505 Public Drunkenness / 5503(a)(1) DISORDERLY CONDUCT - ENGAGE IN FIGHTING,703,8,2,-79.934778121856,40.4522498932188
35,167642137,17228928,10,2017-11-25T13:00:00,"1100 Block Highwood St Pittsburgh, PA 15212",N,Marshall-Shadeland,1,HARRASSMENT,2709 Harassment (Non-Specific),2715,1,1,-80.0252563329987,40.468392049675
36,-2787003825,17228925,99,2017-11-27T16:30:00,"Shady Ave & Ellsworth Ave Pittsburgh, PA 15206",Y,Shadyside,4,BENCH WARRANT ARREST - NO TIE,9501 Bench Warrant,708,8,2,-79.9220719373444,40.4591935694207
49,167655338,17229163,29,2017-11-27T23:28:00,"200 Block Ridge Ave Pittsburgh, PA 15212",N,Allegheny Center,1,RUNAWAYS - JUVENILE,029 Missing Juvenile,2204,1,1,-80.0087388960023,40.4520422126639
37,167658090,17229151,4,2017-11-27T22:19:00,"2500 Block Bedford Ave Pittsburgh, PA 15219",N,Bedford Dwellings,2,SIMPLE ASSAULT,"2707.1 Discharge of a Firearm into Occupied Structure / 2705 Recklessly Endangering Another Person. / 3304(a)(1) CRIMINAL MISCHIEF-Prop Damage By Fire, Explosives, or Other Dangerous Means",509,6,3,-79.9727834068432,40.4505240873966
38,167659519,17227353,10,2017-11-24T23:52:00,"4800 Block Penn Ave Pittsburgh, PA 15224",N,Bloomfield,5,HARRASSMENT,2709(a) Harassment.,809,7,2,-79.9462488579106,40.4652053730075
39,167704486,17229536,17,2017-11-24T23:22:00,"1900 Block S 18th St Pittsburgh, PA 15203",N,South Side Slopes,3,OPEN LEWDNESS,5901 Open Lewdness. / 5503 Disorderly Conduct.,1706,3,4,-79.9794899776209,40.4246386351952
40,167709664,17229627,6,2017-11-28T12:00:00,"3000 Block Pioneer Ave Pittsburgh, PA 15226",N,Brookline,6,THEFT FROM AUTO,3934 Theft from Vehicle,1918,4,4,-80.0285275568566,40.3945960013899
41,167712274,17229681,27,2017-11-27T17:00:00,"6100 Block Rodman St Pittsburgh, PA 15206",N,East Liberty,5,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1115,9,2,-79.9213829821603,40.4646990352751
42,167722960,17229794,4,2017-11-28T20:18:00,"900 Block Brookline Blvd Pittsburgh, PA 15226",N,Brookline,6,AGG-ASSAULT,2702 Aggravated Assault. / 2705 Recklessly Endangering Another Person. / 3742 Accidents Involving Death or Personal Injury,1919,4,4,-80.0191864859107,40.3928714796472
43,167422571,17222598,17,2017-11-14T13:45:00,Zone 4,N,,4,SEXUAL ABUSE OF CHILDREN,6312 Sexual Abuse of Children.,,,,,
44,167442576,17226028,6,2017-11-22T13:53:00,"200 Block Reifert St Pittsburgh, PA 15210",Y,Knoxville,3,THEFT,"3924 Theft of Property Lost, Mislaid or Delivered by Mistake. / 4106 Access Device Fraud",3001,3,4,-79.9921468999282,40.4080873636312
45,167456454,17226165,6,2017-11-22T17:56:00,"5800 Block Forbes Ave Pittsburgh, PA 15217",Y,Squirrel Hill South,4,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft.,1408,5,3,-79.9228059180362,40.4378463711199
46,167457993,17226236,6,2017-11-22T18:07:00,"1700 Block Murray Ave Pittsburgh, PA 15217",Y,Squirrel Hill South,4,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft.,1413,5,3,-79.9230542878896,40.4380214752913
47,167462109,17222122,6,2017-11-16T16:16:00,"East Ohio St & Madison Ave Pittsburgh, PA 15212",Y,East Allegheny,1,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,2304,1,1,-79.996792124994,40.4541043969741
48,167463452,17226332,27,2017-11-22T08:00:00,"3800 Block Wilksboro Ave Pittsburgh, PA 15212",N,Brighton Heights,1,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,2701,1,1,-80.0468122521856,40.4833539522988
50,167655562,17229175,99,2017-11-27T23:28:00,"200 Block Ridge Ave Pittsburgh, PA 15212",N,Allegheny Center,1,MISSING PERSONS (18+),9490 Missing Persons (18 and Over),2204,1,1,-80.0087388960023,40.4520422126639
51,167688873,17229388,6,2017-11-28T11:00:00,"1400 Block Mc Clure Ave Pittsburgh, PA 15212",N,Marshall-Shadeland,1,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,2715,1,1,-80.0370784655117,40.4719973138638
52,167691080,17229429,0,2017-11-28T12:15:00,"1700 Block Realty Ave Pittsburgh, PA 15216",N,Beechview,6,99,9998 Overdose Other,1920,4,5,-80.0247785063525,40.4085930985021
53,167707860,17229535,11,2017-11-27T16:05:00,"5500 Block Penn Ave Pittsburgh, PA 15206",N,Friendship,5,THEFT BY DECEPTION,3922 Theft by Deception.,807,9,2,-79.9323599217624,40.4638178911915
54,167721530,17229757,6,2017-11-28T19:00:00,"2700 Block E Carson St Pittsburgh, PA 15203",N,South Side Flats,3,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item,1609,3,4,-79.9668924076106,40.4266661381728
55,167729038,17229913,6,2017-11-29T00:10:00,"1700 Block Cliff St Pittsburgh, PA 15219",N,Crawford-Roberts,2,THEFT,3921 Theft by Unlawful Taking or Disposition.,305,6,3,-79.9865968690095,40.4455363464138
56,167746791,17230069,6,2017-11-29T08:50:00,"1100 Block Itin St Pittsburgh, PA 15212",Y,Spring Garden,1,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item / 3925 Receiving Stolen Property.,2412,1,1,-79.9937872998917,40.4613993825643
57,167338417,17224771,27,2017-11-13T11:35:00,"2000 Block Wharton St Pittsburgh, PA 15203",N,South Side Flats,3,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,1702,3,4,-79.9768133267008,40.4300208249454
58,167591383,17228408,99,2017-11-26T15:02:00,"1200 Block Benton Ave Pittsburgh, PA 15212",N,Brighton Heights,1,MENTAL 201/302,9498 302 (Mental),2708,1,1,-80.0334248577213,40.4861174737054
59,167592639,17228415,0,2017-11-26T17:57:00,"1900 Block Brownsville Rd Pittsburgh, PA 15210",N,Carrick,3,99,9999 9999 - (Misc. Incident): ,2901,4,4,-79.9875054972192,40.3960524338707
60,167593031,17228441,6,2017-11-26T18:45:00,"5100 Block Carnegie St Pittsburgh, PA 15201",N,Upper Lawrenceville,2,THEFT,3921 Theft by Unlawful Taking or Disposition.,1011,7,2,-79.9546498399447,40.4778374958374
61,167613944,17228711,0,2017-11-27T09:00:00,"7400 Block Idlewild St Pittsburgh, PA 15208",N,Homewood North,5,99,9999 9999 - (Misc. Incident): Burglary,1302,9,2,-79.8915393191173,40.4569342748174
62,167630607,17228822,0,2017-11-27T12:55:00,"800 Block Sweeney Pl Pittsburgh, PA 15208",N,Homewood West,5,99,105.6.31 Open burning,1207,9,2,-79.9055663448996,40.4583100891598
63,167635584,17228841,15,2017-11-27T14:05:00,"Allegheny Ave & Ridge Ave Pittsburgh, PA 15233",Y,Chateau,1,FIREARMS NOT TO BE CARRIED WO LICENSE,"6106 Firearms not to be Carried without a License. / 13(a)(30) Possession w/ Intent to Del. Controlled Substance / 13(a)(16) Possession of Controlled Substance / 9501 Bench Warrant / 6105(a)(1) Persons not to possess, use, manufacture, control, sell or transfer firearms: Former Convict enumerated in subsection (b) / 6110.1 Possesion of Firearm by Minor",2108,1,1,-80.0183123385301,40.4496784790772
64,167648182,17229016,10,2017-11-26T22:15:00,"1900 Block Village Rd Pittsburgh, PA 15205",Y,Fairywood,6,HARRASSMENT,2709(a) Harassment.,2808,2,5,-80.0757663091018,40.4491806768093
65,167656984,17229165,0,2017-11-27T23:02:00,"East Ohio St & Madison Ave Pittsburgh, PA 15212",Y,East Allegheny,1,99,3714 Careless Driving / 3742.1 Accident Involv. Death/Inj. While not Licensed / 3112 Traffic-Control Signals. / 1543 Driving While Operating Privilege is Suspended or Revoked.,2304,1,1,-79.996792124994,40.4541043969741
66,167666228,17229318,6,2017-11-28T07:21:00,"70 Block S 14th St Pittsburgh, PA 15203",N,South Side Flats,3,THEFT,3921(a) Theft by Unlawful Taking or Disposition - Movable item / 3921(a) Theft by Unlawful Taking or Disposition - Movable item,1702,3,4,-79.9841392168142,40.4276742617746
67,166843101,17219053,0,2017-11-12T03:15:00,"300 Block Cedar Ave Pittsburgh, PA 15212",N,East Allegheny,1,99,9999 9999 - (Misc. Incident): ,2304,1,1,-80.0008438918365,40.4508927214405
68,166843523,17219034,0,2017-11-12T02:00:00,"1700 Block Letsche St Pittsburgh, PA 15214",Y,Fineview,1,99,601.16 Public Urination And Defecation,2509,6,1,-80.0082388684758,40.4626284883318
69,166845057,17219112,10,2017-11-12T06:12:00,"2200 Block Bentley Dr Pittsburgh, PA 15213",Y,Terrace Village,2,SIMPLE ASSAULT,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats / 2701 Simple Assault.",510,6,3,-79.9702593021862,40.4401023615949
70,167771984,17230263,99,2017-11-29T13:00:00,"Buena Vista St & Armandale St Pittsburgh, PA 15212",N,Central North Side,1,FOUND PROPERTY,9489 Found Property,2503,6,1,-80.0148938448171,40.4580470432155
71,167785554,17230182,11,2017-11-29T09:00:00,"900 Block 2nd Ave Pittsburgh, PA 15219",Y,Perry South,2,IDENTITY THEFT,4120 Identity Theft / 13(a)(32) Paraphernalia - Use or Possession / 4914(A) False Identification to Law Enforcement,103,6,3,-79.9930776867537,40.4350955036066
72,167793924,17230423,18,2017-11-29T18:50:00,"Hartwell St & Ledgedale St Pittsburgh, PA 15205",Y,Westwood,6,STOLEN PROPERTY - OTHER,13(a)(16) Possession of Controlled Substance / 1301 Registration and Certificate of Title Required. / 3111 Obedience to Traffic-Control Devices.,2811,2,5,-80.0507253385387,40.4369749150781
73,167796106,17230388,0,2017-11-29T17:37:00,"700 Block Beechnut Dr Pittsburgh, PA 15205",N,Fairywood,6,99,9999 9999 - (Misc. Incident): Hunter's Errant Round,2808,2,5,-80.0874345251252,40.4528340571448
74,167807386,17230547,18,2017-11-29T22:14:00,"Cowan St & Southern Ave Pittsburgh, PA 15211",Y,Mount Washington,3,STOLEN PROPERTY - OTHER,13(a)(16) Possession of Controlled Substance,1914,2,5,-80.0089176146608,40.4275163924313
75,167809021,17227995,0,2017-11-26T00:25:00,"10 Block Vinecliffe St Pittsburgh, PA 15211",N,Mount Washington,3,99,627.02(b)(i) Possessing a small amount of marijuana,1914,2,5,-80.0059774300786,40.4306478995878
76,167810175,17227376,10,2017-11-25T00:35:00,"2100 Block Mazette Pl Pittsburgh, PA 15205",Y,Fairywood,6,SIMPLE ASSAULT,2701 Simple Assault. / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck,2808,2,5,-80.0845033253269,40.4460515824203
77,167476512,17226526,16,2017-11-23T09:00:00,"James St & Foreland St Pittsburgh, PA 15212",Y,East Allegheny,1,PROSTITUTION,5902(a)(2) Prostitution - Loitering for purpose of / 5902(a)(1) Prostitution  / 13(a)(32) Paraphernalia - Use or Possession,2304,1,1,-80.0008645508975,40.4542860206855
78,-2991021578,17226521,6,2017-11-23T10:45:00,"English Ln Pittsburgh, PA 15217",N,Squirrel Hill North,4,THEFT FROM AUTO,3934 Theft from Vehicle / 3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,1401,5,3,-79.9147848833632,40.4295684286677
79,167480016,17226376,23,2017-11-23T01:19:00,"400 Block North Shore Dr Pittsburgh, PA 15212",Y,North Shore,1,PUBLIC DRUNKENESS,5505 Public Drunkenness,2205,1,6,-80.0123365767722,40.4462630510384
80,167482050,17226343,23,2017-11-23T00:29:00,"300 Block North Shore Dr Pittsburgh, PA 15212",Y,North Shore,1,PUBLIC DRUNKENESS,5505 Public Drunkenness,2205,1,1,-80.0096402728326,40.4549486918507
81,167483241,17226670,99,2017-11-23T17:00:00,"100 Block Southern Ave Pittsburgh, PA 15211",N,Mount Washington,3,DEAD ON ARRIVAL (DOA),9496 Dead on Arrival (DOA),1914,2,5,-80.009163098121,40.4270409482231
82,167489883,17226832,4,2017-11-24T02:09:00,"1700 Block E Carson St Pittsburgh, PA 15203",N,South Side Flats,3,AGG-ASSAULT,2702 Aggravated Assault. / 2705 Recklessly Endangering Another Person. / 3304 Criminal Mischief.,1702,3,4,-79.9818690076802,40.4285852039836
83,167536429,17227315,99,2017-11-24T22:00:00,"10 Block Maytide St Pittsburgh, PA 15227",N,Carrick,3,MISCELLANEOUS FIRE VEH INVEST CONTINUED,9122 Miscellaneous Fire Vehicle Investigation to Continue,2904,4,4,-79.9783111234002,40.3843940914418
142,-3038000105,17230977,5,2017-11-29T12:37:00,"300 Block 4th Ave Pittsburgh, PA 15222",N,Central Business District,2,BURGLARY,3502 Burglary.,201,6,6,-80.0011699789804,40.4391407682019
84,166840125,17218952,10,2017-11-12T00:22:00,"700 Block Casino Dr Pittsburgh, PA 15212",Y,North Shore,1,RESIST ARREST/OTHER LAW ENFORC,5104 Resisting Arrest or Other Law Enforcement. / 5505 Public Drunkenness / 5503 Disorderly Conduct.,2205,6,6,-80.0207578138682,40.4468677794098
85,167757196,17230084,99,2017-11-29T11:02:00,"2100 Block Boustead St Pittsburgh, PA 15216",N,Beechview,6,AIDED CASE,9497 Aided Case,1920,2,5,-80.0296430379866,40.4058145592507
86,-3038000082,17230148,0,2017-11-29T11:12:00,"400 Block Grant St Pittsburgh, PA 15219",N,Central Business District,2,99,9999 9999 - (Misc. Incident): ,201,6,6,-79.997549508676,40.4383926154353
87,167780868,17230340,27,2017-11-29T16:00:00,"5500 Block Walnut St Pittsburgh, PA 15232",N,Shadyside,4,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,703,8,2,-79.9335939003755,40.4509660803362
88,167782423,17230316,5,2017-11-29T15:00:00,"2500 Block Maple Ave Pittsburgh, PA 15214",N,Perry South,1,BURGLARY,3502 Burglary.,2614,6,1,-80.0072666556639,40.4698315099907
89,167784892,17230350,27,2017-11-29T16:30:00,"3300 Block Ajax St Pittsburgh, PA 15219",N,Upper Hill,2,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,506,6,3,-79.9658527516217,40.4547969257674
90,167785819,17230370,6,2017-11-29T16:15:00,"7700 Block Lyman St Pittsburgh, PA 15221",N,Point Breeze,4,THEFT,3921 Theft by Unlawful Taking or Disposition.,1406,9,3,-79.8952557915953,40.4434396642054
91,167790299,17230405,6,2017-11-29T13:00:00,"1100 Block Normahill Dr Pittsburgh, PA 15201",N,Stanton Heights,5,THEFT,"3924 Theft of Property Lost, Mislaid or Delivered by Mistake.",1018,7,2,-79.9382300403062,40.4862136040062
92,167797722,17230438,10,2017-11-29T00:01:00,"1200 Block Yetta Ave Pittsburgh, PA 15212",N,Spring Hill-City View,1,HARRASSMENT/THREAT/ATTEMPT/PHY,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",2620,1,1,-79.993007992621,40.4631960270256
93,167798752,17230472,6,2017-11-29T17:30:00,"2000 Block E Carson St Pittsburgh, PA 15203",N,South Side Flats,3,THEFT,"3924 Theft of Property Lost, Mislaid or Delivered by Mistake.",1702,3,4,-79.9775074840267,40.4283102180068
94,167801301,17230489,6,2017-11-29T20:00:00,"Grandview Ave & Amabell St Pittsburgh, PA 15211",N,Mount Washington,3,THEFT,3921 Theft by Unlawful Taking or Disposition.,1903,2,5,-80.0137867234344,40.4355057070669
95,167801943,17230503,14,2017-11-29T19:00:00,"400 Block Augusta St Pittsburgh, PA 15211",N,Duquesne Heights,3,CRIM MISCHIEF,3304 Criminal Mischief.,1911,2,5,-80.0239021896414,40.4360922807105
96,167817283,17230578,6,2017-11-29T23:35:00,"2400 Block Bedford Ave Pittsburgh, PA 15219",N,Bedford Dwellings,2,THEFT,3921 Theft by Unlawful Taking or Disposition.,509,6,3,-79.9742706845918,40.4496063655273
97,167833568,17230740,27,2017-11-30T08:41:00,"Maytide St & Saw Mill Run Blvd Pittsburgh, PA 15210",N,Carrick,3,HIT AND RUN,3743 Accidents Involving Damage to Attended Veh. or Property,2904,4,4,-79.995052627109,40.384702801984
98,167853994,17230851,4,2017-11-30T12:26:00,"300 Block Arabella St Pittsburgh, PA 15210",N,Knoxville,3,AGG-ASSAULT,2702 Aggravated Assault. / 9011 Gun Related / 8106 Shots Fired,3001,3,4,-79.9930668114074,40.4121653952471
99,166840257,17218964,0,2017-11-12T00:38:00,"200 Block Dinwiddie St Pittsburgh, PA 15219",N,Crawford-Roberts,2,99,9999 9999 - (Misc. Incident): ,305,6,3,-79.9804603176683,40.4391348751793
100,166842178,17219014,3,2017-11-12T02:15:00,"2400 Block Bedford Ave Pittsburgh, PA 15219",Y,Bedford Dwellings,2,ROBBERY,3701 Robbery. / 3503 Criminal Trespass / 2902 Unlawful Restraint.,509,6,3,-79.9742706845918,40.4496063655273
101,166856734,17219283,27,2017-11-12T13:20:00,"400 Block Noble St Pittsburgh, PA 15232",N,Shadyside,4,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,709,8,2,-79.9371688752457,40.4550131098996
102,167690378,17229444,27,2017-11-17T22:30:00,"45th St Pittsburgh, PA 15201",N,Homewood West,2,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1207,,,0.0,0.0
103,167694044,17229469,27,2017-11-23T19:00:00,"6500 Block Lilac St Pittsburgh, PA 15217",N,Squirrel Hill South,4,HIT AND RUN,3745 Accidents Involving Damage to Unattended Veh.or Prop.,1414,5,3,-79.9237330842582,40.4230912280512
104,167707328,17226708,10,2017-11-28T16:40:00,"600 Block 1st Ave Pittsburgh, PA 15219",Y,Perry South,2,SIMPLE ASSAULT,2705 Recklessly Endangering Another Person. / 2701 Simple Assault. / 2701(a)(3) Simple Assault - Attempts by Physical Menace  / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck,201,6,6,-79.9963009852286,40.4346965877756
105,167708597,17229572,18,2017-11-28T15:15:00,"4800 Block Friendship Ave Pittsburgh, PA 15224",Y,Bloomfield,5,STOLEN PROPERTY - OTHER,13(a)(16) Possession of Controlled Substance,809,7,2,-79.9463627978595,40.4612637558242
106,167743535,17229521,6,2017-11-28T13:55:00,"6000 Block Broad St Pittsburgh, PA 15206",N,East Liberty,5,RETAIL THEFT (SHOPLIFTING),3929 Retail Theft.,1115,9,2,-79.9243532916747,40.4624270618663
190,167652513,17229042,99,2017-11-27T19:08:00,"W Prospect Ave & Arbordale St Pittsburgh, PA 15205",N,Fairywood,6,MENTAL 201/302,9498 302 (Mental),2808,2,5,-80.0804555656634,40.4468885785442
107,166847548,17219129,23,2017-11-12T08:00:00,"50 Block 11th St Pittsburgh, PA 15219",Y,Central Business District,2,PUBLIC DRUNKENESS,5505 Public Drunkenness / 3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION,201,3,4,-79.9876722276364,40.428959529577
108,166851763,17219178,0,2017-11-12T10:30:00,"Liverpool St & Manhattan St Pittsburgh, PA 15233",Y,Manchester,1,99,3714 Careless Driving / 13(a)(31)(i) Marijuana - Possess Small Amt for Personal Use,2107,6,1,-80.0266376393645,40.4549722648228
